File created on 2016-01-15T21:28:34.926887

#COORDINATES
GSM

 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
2003 10 29 00 58 36 000       2.90       8.49      -2.18    -595.22     -32.98     -34.74       6.39  564975.12
2003 10 29 00 58 52 000       4.63       7.47      -2.89    -595.22     -32.97     -34.75       6.36  564408.62
2003 10 29 00 59 08 000       5.65       7.32      -1.52    -595.22     -32.97     -34.75       6.33  563842.19
2003 10 29 00 59 24 000       6.21       6.96       0.01    -595.22     -32.96     -34.76       6.31  563275.81
2003 10 29 00 59 40 000       6.30       6.83       0.91    -595.22     -32.96     -34.76       6.28  562709.38
2003 10 29 00 59 56 000       4.98       7.42      -2.08    -595.22     -32.95     -34.77       6.26  562142.88
2003 10 29 01 00 12 000       3.70       7.71      -2.40    -595.22     -32.95     -34.77       6.23  561576.62
2003 10 29 01 00 28 000       6.67       3.75      -5.17    -595.22     -32.94     -34.77       6.20  561010.12
2003 10 29 01 00 44 000       6.94       4.48      -4.00    -595.22     -32.94     -34.78       6.18  560443.81
2003 10 29 01 01 00 000       5.73      -0.02      -7.67    -595.22     -32.94     -34.78       6.15  559877.31
2003 10 29 01 01 16 000       6.48      -0.56      -7.43    -595.22     -32.93     -34.79       6.12  559310.88
2003 10 29 01 01 32 000       6.16       0.22      -7.46    -595.22     -32.93     -34.79       6.10  558744.50
2003 10 29 01 01 48 000       7.11      -1.07      -6.73    -595.22     -32.92     -34.80       6.07  558178.12
2003 10 29 01 02 04 000       7.91      -1.11      -5.83    -595.22     -32.92     -34.80       6.04  557611.62
2003 10 29 01 02 20 000       8.02      -1.04      -5.53    -595.22     -32.91     -34.80       6.02  557045.19
2003 10 29 01 02 36 000       7.39      -0.16      -6.28    -595.22     -32.91     -34.81       5.99  556478.81
2003 10 29 01 02 52 000       7.54      -0.56      -5.77    -595.22     -32.90     -34.81       5.97  555912.38
2003 10 29 01 03 08 000       8.68      -0.10      -4.06    -595.22     -32.90     -34.82       5.94  555346.00
2003 10 29 01 03 24 000       7.87      -0.81      -4.91    -595.22     -32.89     -34.82       5.91  554779.62
2003 10 29 01 03 40 000       7.29      -3.28      -5.09    -595.22     -32.89     -34.83       5.89  554213.19
2003 10 29 01 03 56 000       6.64      -2.32      -6.23    -595.22     -32.88     -34.83       5.86  553646.81
2003 10 29 01 04 12 000       7.17      -0.84      -5.70    -595.22     -32.88     -34.83       5.83  553080.31
2003 10 29 01 04 28 000       5.86       0.05      -7.18    -595.22     -32.88     -34.84       5.81  552513.88
2003 10 29 01 04 44 000       5.65       0.65      -7.37    -595.22     -32.87     -34.84       5.78  551947.50
2003 10 29 01 05 00 000       5.43       0.49      -7.50    -595.22     -32.87     -34.85       5.75  551381.12
2003 10 29 01 05 16 000       4.59      -0.61      -8.00    -595.22     -32.86     -34.85       5.73  550814.69
2003 10 29 01 05 32 000       4.72      -0.37      -7.96    -595.22     -32.86     -34.86       5.70  550248.19
2003 10 29 01 05 48 000       4.14       2.70      -7.72    -595.22     -32.85     -34.86       5.68  549681.88
2003 10 29 01 06 04 000       2.47       4.59      -7.33    -595.22     -32.85     -34.87       5.65  549115.38
2003 10 29 01 06 20 000       5.73      -3.49      -6.91    -595.22     -32.84     -34.87       5.62  548549.00
2003 10 29 01 06 36 000       6.72      -1.66      -6.46    -595.22     -32.84     -34.87       5.60  547982.62
2003 10 29 01 06 52 000       6.82      -2.19      -6.10    -595.22     -32.83     -34.88       5.58  547416.19
2003 10 29 01 07 08 000       7.64      -0.72      -5.38    -595.22     -32.83     -34.88       5.58  546849.81
2003 10 29 01 07 24 000       7.30      -0.73      -5.21    -595.22     -32.82     -34.89       5.58  546283.38
2003 10 29 01 07 40 000       7.15      -2.35      -5.02    -595.22     -32.82     -34.89       5.58  545716.88
2003 10 29 01 07 56 000       6.99      -2.26      -5.36    -595.22     -32.81     -34.90       5.58  545150.50
2003 10 29 01 08 12 000       7.70       0.40      -4.98    -595.22     -32.81     -34.90       5.58  544584.12
2003 10 29 01 08 28 000       7.94       2.21      -4.11    -595.22     -32.80     -34.91       5.58  544017.69
2003 10 29 01 08 44 000       8.28       1.97      -3.40    -595.22     -32.80     -34.91       5.58  543451.31
2003 10 29 01 09 00 000       8.34       2.11      -2.83    -595.22     -32.80     -34.92       5.58  542884.88
2003 10 29 01 09 16 000       7.70       3.61      -3.36    -595.22     -32.79     -34.92       5.54  542318.38
2003 10 29 01 09 32 000       5.90       3.83      -5.32    -595.22     -32.79     -34.92       5.49  541752.12
2003 10 29 01 09 48 000       5.16       3.44      -6.68    -595.22     -32.78     -34.93       5.44  541185.62
2003 10 29 01 10 04 000       6.21       3.84      -5.43    -595.22     -32.78     -34.93       5.39  540619.19
2003 10 29 01 10 20 000       7.37       3.13      -4.18    -595.22     -32.77     -34.94       5.34  540052.81
2003 10 29 01 10 36 000       6.69       4.43      -4.53    -595.22     -32.77     -34.94       5.29  539486.38
2003 10 29 01 10 52 000       6.52       4.21      -4.98    -595.22     -32.76     -34.95       5.24  538920.00
2003 10 29 01 11 08 000       5.60       4.63      -5.68    -595.22     -32.76     -34.95       5.19  538353.62
2003 10 29 01 11 24 000       4.96       5.29      -5.81    -595.22     -32.75     -34.96       5.22  537787.12
2003 10 29 01 11 40 000       6.16       6.45      -1.86    -595.22     -32.75     -34.96       5.35  537220.81
2003 10 29 01 11 56 000       4.25       5.47      -6.25    -595.22     -32.74     -34.96       5.48  536654.31
2003 10 29 01 12 12 000       5.11       6.07      -4.95    -595.22     -32.74     -34.97       5.61  536087.88
2003 10 29 01 12 28 000       4.53       6.32      -5.23    -595.22     -32.73     -34.97       5.74  535521.50
2003 10 29 01 12 44 000       3.27       7.48      -4.33    -595.22     -32.73     -34.98       5.87  534955.12
2003 10 29 01 13 00 000       4.03       7.37      -3.88    -595.22     -32.72     -34.98       6.00  534388.62
2003 10 29 01 13 16 000       4.07       6.42      -5.24    -595.22     -32.72     -34.99       6.13  533822.19
2003 10 29 01 13 32 000       4.01       7.16      -4.54    -595.22     -32.71     -34.99       6.26  533255.81
2003 10 29 01 13 48 000       4.96       6.27      -5.00    -595.22     -32.71     -35.00       6.39  532689.38
2003 10 29 01 14 04 000       6.18       5.06      -5.30    -595.22     -32.70     -35.00       6.36  532123.00
2003 10 29 01 14 20 000       7.07       2.69      -5.78    -595.22     -32.70     -35.01       6.12  531556.62
2003 10 29 01 14 36 000       7.55       3.11      -5.26    -595.22     -32.69     -35.01       5.88  530990.19
2003 10 29 01 14 52 000       7.36       1.29      -6.56    -595.22     -32.69     -35.02       5.63  530423.81
2003 10 29 01 15 08 000       6.85       0.23      -6.39    -595.22     -32.68     -35.02       5.39  529857.31
2003 10 29 01 15 24 000       8.26      -3.48      -3.40    -595.22     -32.68     -35.02       5.15  529290.88
2003 10 29 01 15 40 000       7.90      -1.63      -4.63    -595.22     -32.67     -35.03       4.90  528724.50
2003 10 29 01 15 56 000       8.44      -0.64      -4.79    -595.22     -32.67     -35.03       4.78  528158.12
2003 10 29 01 16 12 000       9.19       0.76      -3.11    -595.22     -32.66     -35.04       4.81  527591.69
2003 10 29 01 16 28 000       9.09      -0.51      -3.41    -595.22     -32.66     -35.04       4.84  527025.19
2003 10 29 01 16 44 000       9.36      -1.10      -2.36    -595.22     -32.65     -35.05       4.87  526458.88
2003 10 29 01 17 00 000       9.27      -1.08      -3.02    -595.22     -32.65     -35.05       4.91  525892.38
2003 10 29 01 17 16 000       8.88       1.51      -3.58    -595.22     -32.64     -35.06       4.94  525326.00
2003 10 29 01 17 32 000       8.76       3.21      -2.13    -595.22     -32.64     -35.06       4.97  524759.62
2003 10 29 01 17 48 000       9.02       1.55      -3.40    -595.22     -32.63     -35.07       5.00  524193.19
2003 10 29 01 18 04 000       9.14       2.56      -1.46    -595.22     -32.63     -35.07       5.03  523626.81
2003 10 29 01 18 20 000       7.93      -1.08      -3.41    -595.22     -32.62     -35.08       5.07  523060.41
2003 10 29 01 18 36 000       4.55      -5.56      -6.70    -595.22     -32.62     -35.08       5.10  522493.91
2003 10 29 01 18 52 000       6.08      -4.42      -6.39    -595.22     -32.61     -35.09       5.13  521927.50
2003 10 29 01 19 08 000       5.82      -4.23      -6.23    -595.22     -32.61     -35.09       5.16  521361.09
2003 10 29 01 19 24 000       5.61      -4.35      -6.28    -595.22     -32.60     -35.09       5.19  520794.69
2003 10 29 01 19 40 000       5.16      -4.61      -6.39    -595.22     -32.60     -35.10       5.23  520228.31
2003 10 29 01 19 56 000       4.54      -4.68      -6.94    -595.22     -32.59     -35.10       5.26  519661.91
2003 10 29 01 20 12 000       3.97      -4.98      -6.98    -595.22     -32.59     -35.11       5.29  519095.50
2003 10 29 01 20 28 000       4.57      -4.61      -7.00    -595.22     -32.58     -35.11       5.32  518529.09
2003 10 29 01 20 44 000       4.63      -4.41      -7.06    -595.22     -32.58     -35.12       5.35  517962.59
2003 10 29 01 21 00 000       3.74      -4.64      -7.11    -595.22     -32.57     -35.12       5.39  517396.19
2003 10 29 01 21 16 000       2.75      -4.71      -7.26    -595.22     -32.57     -35.13       5.42  516829.81
2003 10 29 01 21 24 000       8.20      -1.51      -3.96    -662.15     -46.47      79.13       5.43  508900.00
2003 10 29 01 21 42 000       8.67      -2.49      -3.02    -661.63     -46.54      78.69       5.46  509589.53
2003 10 29 01 21 59 000       8.34      -1.37      -4.47    -661.11     -46.60      78.25       5.50  510279.03
2003 10 29 01 22 17 000       8.40      -1.43      -4.31    -660.60     -46.67      77.81       5.53  510968.56
2003 10 29 01 22 34 000       7.73      -0.52      -5.67    -660.08     -46.75      77.37       5.57  511658.06
2003 10 29 01 22 52 000       8.46      -0.92      -4.52    -659.56     -46.81      76.93       5.62  512347.59
2003 10 29 01 23 09 000       8.12      -0.81      -5.22    -659.05     -46.88      76.49       5.70  513037.09
2003 10 29 01 23 27 000       8.10      -0.75      -5.26    -658.53     -46.95      76.05       5.77  513726.62
2003 10 29 01 23 44 000       8.48       0.59      -4.90    -658.01     -47.02      75.60       5.84  514416.12
2003 10 29 01 24 02 000       8.45       1.57      -4.09    -657.50     -47.09      75.16       5.91  515105.66
2003 10 29 01 24 19 000       8.42       3.22      -3.48    -656.98     -47.15      74.72       5.98  515795.16
2003 10 29 01 24 37 000       7.79       4.92      -2.40    -656.46     -47.23      74.28       6.05  516484.69
2003 10 29 01 24 54 000       7.59       5.82      -1.16    -655.95     -47.29      73.83       6.13  517174.19
2003 10 29 01 25 12 000       7.16       1.68      -1.93    -655.43     -47.36      73.40       6.20  517863.72
2003 10 29 01 25 29 000       7.32      -3.79      -5.31    -654.92     -47.43      72.96       6.27  518553.22
2003 10 29 01 25 47 000       6.87      -4.52      -5.22    -654.40     -47.49      72.51       6.34  519242.75
2003 10 29 01 26 04 000       7.20      -4.99      -4.30    -653.88     -47.56      72.07       6.41  519932.25
2003 10 29 01 26 22 000       6.19      -6.98      -3.44    -653.37     -47.63      71.63       6.45  520621.78
2003 10 29 01 26 40 000       6.78      -5.80      -3.88    -652.85     -47.70      71.19       6.41  521311.28
2003 10 29 01 26 57 000       6.46      -5.33      -4.98    -652.33     -47.77      70.74       6.36  522000.81
2003 10 29 01 27 15 000       6.17      -5.23      -5.34    -651.82     -47.83      70.30       6.32  522690.31
2003 10 29 01 27 32 000       5.70      -4.64      -6.37    -651.30     -47.90      69.86       6.28  523379.84
2003 10 29 01 27 50 000       4.04      -4.06      -7.92    -650.78     -47.96      69.42       6.23  524069.34
2003 10 29 01 28 07 000       4.13      -2.76      -8.38    -650.27     -48.04      68.98       6.19  524758.88
2003 10 29 01 28 25 000       5.47      -1.47      -8.08    -649.75     -48.10      68.53       6.15  525448.38
2003 10 29 01 28 42 000       5.91      -0.22      -7.86    -649.23     -48.17      68.10       6.11  526137.88
2003 10 29 01 29 00 000       6.60      -0.83      -7.09    -648.72     -48.23      67.65       6.06  526827.44
2003 10 29 01 29 18 000       6.43      -3.35      -6.46    -648.20     -48.29      67.20       6.02  527516.94
2003 10 29 01 29 35 000       6.64      -3.83      -5.92    -647.68     -48.36      66.77       6.24  528206.44
2003 10 29 01 29 53 000       8.24       1.23      -4.94    -647.17     -48.43      66.33       6.50  528896.00
2003 10 29 01 30 10 000       8.12       2.15      -4.99    -646.65     -48.50      65.88       6.76  529585.50
2003 10 29 01 30 28 000       8.30      -0.15      -4.71    -646.13     -48.56      65.44       7.02  530275.00
2003 10 29 01 30 45 000       9.12       1.53      -2.49    -645.62     -48.63      65.00       7.28  530964.50
2003 10 29 01 31 03 000       8.45       1.92      -3.14    -645.10     -48.69      64.56       7.54  531654.00
2003 10 29 01 31 21 000       8.47      -0.86      -4.73    -644.58     -48.76      64.11       7.80  532343.56
2003 10 29 01 31 38 000       8.91       1.01      -3.45    -644.07     -48.82      63.67       7.77  533033.06
2003 10 29 01 31 56 000       7.06      -0.12      -6.95    -643.55     -48.88      63.23       7.55  533722.56
2003 10 29 01 32 13 000       6.54      -1.35      -7.30    -643.03     -48.95      62.79       7.33  534412.12
2003 10 29 01 32 31 000       6.58      -1.02      -7.09    -642.52     -49.02      62.34       7.11  535101.62
2003 10 29 01 32 48 000       7.04      -2.58      -6.39    -642.00     -49.08      61.90       6.88  535791.12
2003 10 29 01 33 06 000       7.07      -2.99      -6.22    -641.48     -49.15      61.46       6.66  536480.62
2003 10 29 01 33 24 000       7.76      -2.80      -5.30    -640.97     -49.21      61.02       6.44  537170.19
2003 10 29 01 33 41 000       6.12      -7.16      -3.35    -640.45     -49.28      60.57       6.21  537859.69
2003 10 29 01 33 59 000       6.26      -6.85      -3.59    -639.93     -49.34      60.13       5.99  538549.19
2003 10 29 01 34 16 000       7.31      -5.85      -3.24    -639.42     -49.40      59.69       5.77  539238.69
2003 10 29 01 34 34 000       7.73      -4.87      -4.16    -638.90     -49.47      59.24       5.60  539928.25
2003 10 29 01 34 52 000       7.88      -4.11      -4.70    -638.38     -49.53      58.80       5.71  540617.75
2003 10 29 01 35 09 000       7.70      -4.05      -4.75    -637.87     -49.59      58.36       5.81  541307.25
2003 10 29 01 35 27 000       8.02      -3.93      -4.72    -637.35     -49.65      57.92       5.92  541996.75
2003 10 29 01 35 45 000       7.77      -4.22      -4.78    -636.83     -49.72      57.47       6.03  542686.31
2003 10 29 01 36 02 000       7.76      -3.91      -4.88    -636.32     -49.78      57.03       6.14  543375.81
2003 10 29 01 36 20 000       8.63      -2.38      -4.10    -635.80     -49.84      56.59       6.25  544065.31
2003 10 29 01 36 37 000       7.65      -3.87      -5.03    -635.28     -49.91      56.15       6.36  544754.81
2003 10 29 01 36 55 000       8.35      -2.82      -4.85    -634.77     -49.97      55.70       6.46  545444.38
2003 10 29 01 37 13 000       8.67      -2.53      -4.18    -634.25     -50.04      55.26       6.40  546133.88
2003 10 29 01 37 30 000       8.54      -3.02      -4.16    -633.73     -50.09      54.82       6.34  546823.38
2003 10 29 01 37 48 000       8.92      -2.61      -3.72    -633.22     -50.16      54.38       6.29  547512.88
2003 10 29 01 38 06 000       8.46      -2.79      -4.47    -632.70     -50.22      53.93       6.23  548202.44
2003 10 29 01 38 23 000       7.61      -4.38      -4.59    -632.18     -50.28      53.49       6.17  548891.94
2003 10 29 01 38 41 000       8.11      -4.13      -4.18    -631.67     -50.34      53.05       6.11  549581.44
2003 10 29 01 38 59 000       8.05      -3.61      -4.47    -631.15     -50.41      52.60       6.05  550271.00
2003 10 29 01 39 16 000       8.40      -2.38      -4.66    -630.63     -50.47      52.16       6.02  550960.50
2003 10 29 01 39 34 000       8.92      -2.26      -3.68    -630.12     -50.53      51.71       6.05  551650.00
2003 10 29 01 39 52 000       9.37      -1.08      -3.09    -629.60     -50.59      51.28       6.08  552339.50
2003 10 29 01 40 09 000       9.17      -2.58      -2.72    -629.08     -50.65      50.82       6.11  553029.00
2003 10 29 01 40 27 000       8.90      -2.52      -3.71    -628.57     -50.71      50.38       6.14  553718.56
2003 10 29 01 40 45 000       9.14      -1.80      -3.41    -628.05     -50.78      49.94       6.16  554408.06
2003 10 29 01 41 02 000       9.44      -1.58      -2.60    -627.53     -50.83      49.50       6.19  555097.56
2003 10 29 01 41 20 000       9.69      -0.64      -1.78    -627.02     -50.90      49.05       6.22  555787.12
2003 10 29 01 41 38 000       9.43      -2.41      -1.47    -626.50     -50.96      48.61       6.25  556476.62
2003 10 29 01 41 55 000       8.87      -2.82      -3.45    -625.98     -51.01      48.17       6.28  557166.12
2003 10 29 01 42 13 000       8.71      -2.73      -3.61    -625.47     -51.08      47.73       6.31  557855.62
2003 10 29 01 42 31 000       8.55      -2.41      -3.52    -624.95     -51.13      47.28       6.34  558545.19
2003 10 29 01 42 48 000       7.10      -1.31      -6.25    -624.43     -51.20      46.84       6.36  559234.69
2003 10 29 01 43 06 000       6.63      -0.76      -6.85    -623.92     -51.25      46.40       6.39  559924.19
2003 10 29 01 43 24 000       5.77      -1.05      -7.20    -623.40     -51.32      45.95       6.42  560613.69
2003 10 29 01 43 41 000       7.11      -2.94      -5.60    -622.89     -51.38      45.50       6.45  561303.25
2003 10 29 01 43 59 000       6.20      -2.40      -6.78    -622.37     -51.43      45.06       6.51  561992.75
2003 10 29 01 44 17 000       6.38      -2.77      -6.82    -621.85     -51.49      44.62       6.61  562682.25
2003 10 29 01 44 34 000       7.01      -4.18      -5.67    -621.34     -51.55      44.17       6.70  563371.75
2003 10 29 01 44 52 000       7.64      -4.03      -4.88    -620.82     -51.62      43.73       6.79  564061.31
2003 10 29 01 45 10 000       7.78      -3.59      -5.39    -620.30     -51.67      43.29       6.89  564750.81
2003 10 29 01 45 28 000       7.88      -3.93      -4.60    -619.79     -51.72      42.84       6.93  565440.31
2003 10 29 01 45 45 000       7.50      -3.05      -5.31    -619.27     -51.79      42.40       6.93  566129.81
2003 10 29 01 46 03 000       7.31      -1.50      -6.15    -618.75     -51.84      41.95       6.93  566819.38
2003 10 29 01 46 21 000       7.16      -1.76      -6.18    -618.24     -51.91      41.51       6.93  567508.88
2003 10 29 01 46 38 000       7.56      -1.73      -5.35    -617.72     -51.96      41.07       6.93  568198.38
2003 10 29 01 46 56 000       8.81      -5.39      -0.30    -617.20     -52.02      40.62       6.93  568887.88
2003 10 29 01 47 14 000       8.86      -4.69      -2.17    -616.69     -52.08      40.18       6.93  569577.44
2003 10 29 01 47 32 000       8.92      -4.81      -0.22    -616.17     -52.13      39.74       6.93  570266.94
2003 10 29 01 47 49 000       8.77      -4.42       0.30    -615.65     -52.20      39.29       6.93  570956.44
2003 10 29 01 48 07 000       8.35      -1.98       4.10    -615.14     -52.25      38.85       6.93  571646.00
