Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 18 33 00 000 -185.00  -704.00
2003 10 29 18 34 00 000 -184.00  -716.00
2003 10 29 18 35 00 000 -186.00  -683.00
2003 10 29 18 36 00 000 -192.00  -592.00
2003 10 29 18 37 00 000 -195.00  -483.00
2003 10 29 18 38 00 000 -197.00  -394.00
2003 10 29 18 39 00 000 -200.00  -439.00
2003 10 29 18 40 00 000 -204.00  -476.00
2003 10 29 18 41 00 000 -205.00  -510.00
2003 10 29 18 42 00 000 -206.00  -547.00
2003 10 29 18 43 00 000 -210.00  -588.00
2003 10 29 18 44 00 000 -213.00  -592.00
2003 10 29 18 45 00 000 -216.00  -555.00
2003 10 29 18 46 00 000 -218.00  -582.00
2003 10 29 18 47 00 000 -220.00  -632.00
2003 10 29 18 48 00 000 -221.00  -650.00
2003 10 29 18 49 00 000 -222.00  -605.00
2003 10 29 18 50 00 000 -221.00  -573.00
2003 10 29 18 51 00 000 -220.00  -601.00
2003 10 29 18 52 00 000 -218.00  -659.00
2003 10 29 18 53 00 000 -213.00  -665.00
2003 10 29 18 54 00 000 -212.00  -624.00
2003 10 29 18 55 00 000 -216.00  -594.00
2003 10 29 18 56 00 000 -229.00  -536.00
2003 10 29 18 57 00 000 -236.00  -441.00
2003 10 29 18 58 00 000 -228.00  -421.00
2003 10 29 18 59 00 000 -221.00  -439.00
2003 10 29 19 00 00 000 -217.00  -477.00
2003 10 29 19 01 00 000 -220.00  -558.00
2003 10 29 19 02 00 000 -221.00  -558.00
2003 10 29 19 03 00 000 -218.00  -588.00
2003 10 29 19 04 00 000 -219.00  -576.00
2003 10 29 19 05 00 000 -221.00  -509.00
2003 10 29 19 06 00 000 -226.00  -433.00
2003 10 29 19 07 00 000 -231.00  -445.00
2003 10 29 19 08 00 000 -235.00  -439.00
2003 10 29 19 09 00 000 -241.00  -434.00
2003 10 29 19 10 00 000 -246.00  -454.00
2003 10 29 19 11 00 000 -248.00  -473.00
2003 10 29 19 12 00 000 -248.00  -456.00
2003 10 29 19 13 00 000 -247.00  -467.00
2003 10 29 19 14 00 000 -242.00  -501.00
2003 10 29 19 15 00 000 -230.00  -562.00
2003 10 29 19 16 00 000 -219.00  -628.00
2003 10 29 19 17 00 000 -211.00  -680.00
2003 10 29 19 18 00 000 -210.00  -693.00
2003 10 29 19 19 00 000 -212.00  -658.00
2003 10 29 19 20 00 000 -210.00  -620.00
2003 10 29 19 21 00 000 -208.00  -610.00
2003 10 29 19 22 00 000 -216.00  -606.00
2003 10 29 19 23 00 000 -221.00  -579.00
2003 10 29 19 24 00 000 -218.00  -556.00
2003 10 29 19 25 00 000 -218.00  -582.00
2003 10 29 19 26 00 000 -217.00  -658.00
2003 10 29 19 27 00 000 -219.00 -1456.00
2003 10 29 19 28 00 000 -223.00 -2741.00
2003 10 29 19 29 00 000 -224.00 -2844.00
2003 10 29 19 30 00 000 -222.00 -2601.00
2003 10 29 19 31 00 000 -220.00 -2299.00
2003 10 29 19 32 00 000 -219.00 -2137.00
2003 10 29 19 33 00 000 -214.00 -2103.00
2003 10 29 19 34 00 000 -211.00 -2242.00
2003 10 29 19 35 00 000 -205.00 -2287.00
2003 10 29 19 36 00 000 -197.00 -2405.00
2003 10 29 19 37 00 000 -186.00 -2554.00
2003 10 29 19 38 00 000 -178.00 -2565.00
2003 10 29 19 39 00 000 -171.00 -2546.00
2003 10 29 19 40 00 000 -163.00 -2440.00
2003 10 29 19 41 00 000 -163.00 -2317.00
2003 10 29 19 42 00 000 -166.00 -2279.00
2003 10 29 19 43 00 000 -177.00 -2618.00
2003 10 29 19 44 00 000 -185.00 -2794.00
2003 10 29 19 45 00 000 -196.00 -2964.00
2003 10 29 19 46 00 000 -202.00 -2810.00
2003 10 29 19 47 00 000 -205.00 -2933.00
2003 10 29 19 48 00 000 -189.00 -3205.00
2003 10 29 19 49 00 000 -180.00 -3249.00
2003 10 29 19 50 00 000 -168.00 -3318.00
2003 10 29 19 51 00 000 -155.00 -3274.00
2003 10 29 19 52 00 000 -150.00 -3054.00
2003 10 29 19 53 00 000 -148.00 -3129.00
2003 10 29 19 54 00 000 -140.00 -3485.00
2003 10 29 19 55 00 000 -135.00 -3497.00
2003 10 29 19 56 00 000 -135.00 -3620.00
2003 10 29 19 57 00 000 -113.00 -3585.00
2003 10 29 19 58 00 000  -25.00 -3456.00
2003 10 29 19 59 00 000  -21.00 -3646.00
2003 10 29 20 00 00 000  -69.00 -3494.00
2003 10 29 20 01 00 000 -153.00 -3405.00
2003 10 29 20 02 00 000 -145.00 -3579.00
2003 10 29 20 03 00 000 -142.00 -3844.00
2003 10 29 20 04 00 000 -136.00 -3751.00
2003 10 29 20 05 00 000 -127.00 -3840.00
2003 10 29 20 06 00 000 -128.00 -3878.00
2003 10 29 20 07 00 000 -132.00 -3829.00
2003 10 29 20 08 00 000 -137.00 -3788.00
2003 10 29 20 09 00 000 -140.00 -3654.00
2003 10 29 20 10 00 000 -150.00 -3588.00
2003 10 29 20 11 00 000 -155.00 -3214.00
2003 10 29 20 12 00 000 -162.00 -2821.00
2003 10 29 20 13 00 000 -169.00 -2748.00
2003 10 29 20 14 00 000 -172.00 -2675.00
2003 10 29 20 15 00 000 -181.00 -2792.00
2003 10 29 20 16 00 000 -187.00 -2849.00
2003 10 29 20 17 00 000 -191.00 -3067.00
2003 10 29 20 18 00 000 -192.00 -3081.00
2003 10 29 20 19 00 000 -198.00 -3263.00
2003 10 29 20 20 00 000 -199.00 -3284.00
2003 10 29 20 21 00 000 -199.00 -3374.00
2003 10 29 20 22 00 000 -202.00 -3619.00
2003 10 29 20 23 00 000 -201.00 -3797.00
2003 10 29 20 24 00 000 -198.00 -3665.00
2003 10 29 20 25 00 000 -196.00 -3652.00
2003 10 29 20 26 00 000 -199.00 -3513.00
2003 10 29 20 27 00 000 -199.00 -3288.00
2003 10 29 20 28 00 000 -199.00 -2861.00
2003 10 29 20 29 00 000 -198.00 -2062.00
2003 10 29 20 30 00 000 -205.00 -1579.00
2003 10 29 20 31 00 000 -223.00 -1502.00
2003 10 29 20 32 00 000 -245.00 -1440.00
2003 10 29 20 33 00 000 -260.00 -1210.00
2003 10 29 20 34 00 000 -254.00 -1060.00
2003 10 29 20 35 00 000 -249.00  -963.00
2003 10 29 20 36 00 000 -248.00  -914.00
2003 10 29 20 37 00 000 -251.00  -849.00
2003 10 29 20 38 00 000 -250.00  -771.00
2003 10 29 20 39 00 000 -252.00  -871.00
2003 10 29 20 40 00 000 -250.00 -1011.00
2003 10 29 20 41 00 000 -231.00 -1006.00
2003 10 29 20 42 00 000 -221.00 -1129.00
2003 10 29 20 43 00 000 -211.00 -1094.00
2003 10 29 20 44 00 000 -204.00 -1327.00
2003 10 29 20 45 00 000 -208.00 -1540.00
2003 10 29 20 46 00 000 -195.00 -1205.00
2003 10 29 20 47 00 000 -200.00 -1101.00
2003 10 29 20 48 00 000 -209.00  -852.00
2003 10 29 20 49 00 000 -204.00 -1078.00
2003 10 29 20 50 00 000 -182.00 -1350.00
2003 10 29 20 51 00 000 -173.00 -1455.00
2003 10 29 20 52 00 000 -165.00 -1376.00
2003 10 29 20 53 00 000 -166.00 -1072.00
2003 10 29 20 54 00 000 -149.00  -955.00
2003 10 29 20 55 00 000 -141.00  -779.00
2003 10 29 20 56 00 000 -140.00  -663.00
2003 10 29 20 57 00 000 -137.00  -595.00
2003 10 29 20 58 00 000 -140.00  -558.00
2003 10 29 20 59 00 000 -143.00  -595.00
2003 10 29 21 00 00 000 -152.00  -625.00
2003 10 29 21 01 00 000 -149.00  -597.00
2003 10 29 21 02 00 000 -150.00  -585.00
2003 10 29 21 03 00 000 -161.00  -578.00
2003 10 29 21 04 00 000 -170.00  -574.00
2003 10 29 21 05 00 000 -174.00  -517.00
2003 10 29 21 06 00 000 -179.00  -432.00
2003 10 29 21 07 00 000 -163.00  -402.00
2003 10 29 21 08 00 000 -166.00  -367.00
2003 10 29 21 09 00 000 -170.00  -343.00
2003 10 29 21 10 00 000 -175.00  -359.00
2003 10 29 21 11 00 000 -180.00  -328.00
2003 10 29 21 12 00 000 -182.00  -322.00
2003 10 29 21 13 00 000 -182.00  -324.00
2003 10 29 21 14 00 000 -182.00  -391.00
2003 10 29 21 15 00 000 -184.00  -436.00
2003 10 29 21 16 00 000 -190.00  -328.00
2003 10 29 21 17 00 000 -190.00  -332.00
2003 10 29 21 18 00 000 -195.00  -341.00
2003 10 29 21 19 00 000 -197.00  -339.00
2003 10 29 21 20 00 000 -200.00  -342.00
2003 10 29 21 21 00 000 -206.00  -464.00
2003 10 29 21 22 00 000 -212.00  -462.00
2003 10 29 21 23 00 000 -216.00  -530.00
2003 10 29 21 24 00 000 -235.00  -612.00
2003 10 29 21 25 00 000 -238.00  -558.00
2003 10 29 21 26 00 000 -219.00  -602.00
2003 10 29 21 27 00 000 -218.00  -624.00
2003 10 29 21 28 00 000 -216.00  -593.00
2003 10 29 21 29 00 000 -219.00  -601.00
2003 10 29 21 30 00 000 -221.00  -613.00
2003 10 29 21 31 00 000 -221.00  -579.00
2003 10 29 21 32 00 000 -221.00  -554.00
2003 10 29 21 33 00 000 -223.00  -533.00
2003 10 29 21 34 00 000 -227.00  -505.00
2003 10 29 21 35 00 000 -227.00  -471.00
2003 10 29 21 36 00 000 -253.00  -433.00
2003 10 29 21 37 00 000 -253.00  -608.00
2003 10 29 21 38 00 000 -227.00  -842.00
2003 10 29 21 39 00 000 -228.00  -867.00
2003 10 29 21 40 00 000 -228.00 -1194.00
2003 10 29 21 41 00 000 -228.00 -1315.00
2003 10 29 21 42 00 000 -229.00 -1341.00
2003 10 29 21 43 00 000 -231.00 -1405.00
2003 10 29 21 44 00 000 -233.00 -1510.00
2003 10 29 21 45 00 000 -235.00 -1555.00
2003 10 29 21 46 00 000 -238.00 -1551.00
2003 10 29 21 47 00 000 -240.00 -1488.00
2003 10 29 21 48 00 000 -265.00 -1367.00
2003 10 29 21 49 00 000 -267.00 -1114.00
2003 10 29 21 50 00 000 -269.00  -913.00
2003 10 29 21 51 00 000 -276.00  -882.00
2003 10 29 21 52 00 000 -277.00  -951.00
2003 10 29 21 53 00 000 -277.00 -1060.00
2003 10 29 21 54 00 000 -279.00 -1082.00
2003 10 29 21 55 00 000 -280.00  -811.00
2003 10 29 21 56 00 000 -279.00  -543.00
2003 10 29 21 57 00 000 -283.00  -520.00
2003 10 29 21 58 00 000 -285.00  -479.00
2003 10 29 21 59 00 000 -286.00  -459.00
2003 10 29 22 00 00 000 -284.00  -450.00
2003 10 29 22 01 00 000 -283.00  -523.00
2003 10 29 22 02 00 000 -280.00  -546.00
2003 10 29 22 03 00 000 -278.00  -554.00
2003 10 29 22 04 00 000 -277.00  -470.00
2003 10 29 22 05 00 000 -274.00  -445.00
2003 10 29 22 06 00 000 -272.00  -448.00
2003 10 29 22 07 00 000 -272.00  -547.00
2003 10 29 22 08 00 000 -278.00  -757.00
2003 10 29 22 09 00 000 -280.00  -776.00
2003 10 29 22 10 00 000 -280.00  -744.00
2003 10 29 22 11 00 000 -275.00  -866.00
2003 10 29 22 12 00 000 -272.00  -746.00
2003 10 29 22 13 00 000 -270.00  -488.00
2003 10 29 22 14 00 000 -268.00  -290.00
2003 10 29 22 15 00 000 -268.00  -288.00
2003 10 29 22 16 00 000 -262.00  -320.00
2003 10 29 22 17 00 000 -266.00  -342.00
2003 10 29 22 18 00 000 -267.00  -301.00
2003 10 29 22 19 00 000 -263.00  -324.00
2003 10 29 22 20 00 000 -260.00  -318.00
2003 10 29 22 21 00 000 -263.00  -330.00
2003 10 29 22 22 00 000 -268.00  -355.00
2003 10 29 22 23 00 000 -270.00  -372.00
2003 10 29 22 24 00 000 -267.00  -378.00
2003 10 29 22 25 00 000 -269.00  -545.00
2003 10 29 22 26 00 000 -271.00  -524.00
2003 10 29 22 27 00 000 -274.00  -541.00
2003 10 29 22 28 00 000 -276.00  -548.00
2003 10 29 22 29 00 000 -275.00  -959.00
2003 10 29 22 30 00 000 -276.00 -1258.00
2003 10 29 22 31 00 000 -277.00 -1226.00
2003 10 29 22 32 00 000 -281.00 -1312.00
2003 10 29 22 33 00 000 -285.00 -1495.00
2003 10 29 22 34 00 000 -287.00 -1666.00
2003 10 29 22 35 00 000 -288.00 -1660.00
2003 10 29 22 36 00 000 -290.00 -1754.00
2003 10 29 22 37 00 000 -287.00 -1737.00
2003 10 29 22 38 00 000 -286.00 -1789.00
2003 10 29 22 39 00 000 -287.00 -1980.00
2003 10 29 22 40 00 000 -286.00 -1893.00
2003 10 29 22 41 00 000 -284.00 -2085.00
2003 10 29 22 42 00 000 -279.00 -2344.00
2003 10 29 22 43 00 000 -279.00 -2500.00
2003 10 29 22 44 00 000 -279.00 -2447.00
2003 10 29 22 45 00 000 -278.00 -2290.00
2003 10 29 22 46 00 000 -281.00 -2328.00
2003 10 29 22 47 00 000 -281.00 -2211.00
2003 10 29 22 48 00 000 -282.00 -2203.00
2003 10 29 22 49 00 000 -288.00 -1954.00
2003 10 29 22 50 00 000 -292.00 -2123.00
2003 10 29 22 51 00 000 -294.00 -2157.00
2003 10 29 22 52 00 000 -294.00 -2081.00
2003 10 29 22 53 00 000 -296.00 -2045.00
2003 10 29 22 54 00 000 -301.00 -1901.00
2003 10 29 22 55 00 000 -301.00 -1865.00
2003 10 29 22 56 00 000 -302.00 -1832.00
2003 10 29 22 57 00 000 -308.00 -1825.00
2003 10 29 22 58 00 000 -311.00 -1782.00
2003 10 29 22 59 00 000 -320.00 -1713.00
2003 10 29 23 00 00 000 -330.00 -1540.00
2003 10 29 23 01 00 000 -322.00 -1475.00
2003 10 29 23 02 00 000 -323.00 -1457.00
2003 10 29 23 03 00 000 -323.00 -1512.00
2003 10 29 23 04 00 000 -323.00 -1617.00
2003 10 29 23 05 00 000 -324.00 -1536.00
2003 10 29 23 06 00 000 -328.00 -1369.00
2003 10 29 23 07 00 000 -331.00 -1299.00
2003 10 29 23 08 00 000 -333.00 -1261.00
2003 10 29 23 09 00 000 -334.00 -1232.00
2003 10 29 23 10 00 000 -335.00 -1189.00
2003 10 29 23 11 00 000 -337.00 -1166.00
2003 10 29 23 12 00 000 -322.00 -1250.00
2003 10 29 23 13 00 000 -328.00 -1435.00
2003 10 29 23 14 00 000 -335.00 -1603.00
2003 10 29 23 15 00 000 -337.00 -1720.00
2003 10 29 23 16 00 000 -338.00 -1585.00
2003 10 29 23 17 00 000 -343.00 -1831.00
2003 10 29 23 18 00 000 -342.00 -1599.00
2003 10 29 23 19 00 000 -339.00 -1366.00
2003 10 29 23 20 00 000 -338.00 -1320.00
2003 10 29 23 21 00 000 -339.00 -1356.00
2003 10 29 23 22 00 000 -338.00 -1336.00
2003 10 29 23 23 00 000 -337.00 -1290.00
2003 10 29 23 24 00 000 -335.00 -1284.00
2003 10 29 23 25 00 000 -335.00 -1323.00
2003 10 29 23 26 00 000 -336.00 -1301.00
2003 10 29 23 27 00 000 -344.00 -1270.00
2003 10 29 23 28 00 000 -346.00 -1558.00
2003 10 29 23 29 00 000 -345.00 -1625.00
2003 10 29 23 30 00 000 -344.00 -1364.00
2003 10 29 23 31 00 000 -348.00 -1425.00
2003 10 29 23 32 00 000 -351.00 -1515.00
2003 10 29 23 33 00 000 -353.00 -1623.00
2003 10 29 23 34 00 000 -354.00 -1732.00
2003 10 29 23 35 00 000 -358.00 -1846.00
2003 10 29 23 36 00 000 -356.00 -1834.00
2003 10 29 23 37 00 000 -357.00 -1894.00
2003 10 29 23 38 00 000 -362.00 -1813.00
2003 10 29 23 39 00 000 -362.00 -1543.00
2003 10 29 23 40 00 000 -364.00 -1100.00
2003 10 29 23 41 00 000 -363.00  -952.00
2003 10 29 23 42 00 000 -363.00  -916.00
2003 10 29 23 43 00 000 -361.00  -932.00
2003 10 29 23 44 00 000 -364.00  -927.00
2003 10 29 23 45 00 000 -364.00  -888.00
2003 10 29 23 46 00 000 -363.00  -860.00
2003 10 29 23 47 00 000 -361.00  -881.00
2003 10 29 23 48 00 000 -360.00  -872.00
2003 10 29 23 49 00 000 -361.00  -840.00
2003 10 29 23 50 00 000 -360.00  -731.00
2003 10 29 23 51 00 000 -359.00  -636.00
2003 10 29 23 52 00 000 -359.00  -620.00
2003 10 29 23 53 00 000 -356.00  -618.00
2003 10 29 23 54 00 000 -354.00  -655.00
2003 10 29 23 55 00 000 -354.00  -650.00
2003 10 29 23 56 00 000 -354.00  -578.00
2003 10 29 23 57 00 000 -353.00  -555.00
2003 10 29 23 58 00 000 -350.00  -560.00
2003 10 29 23 59 00 000 -348.00  -523.00
2003 10 30 00 00 00 000 -351.00  -481.00
2003 10 30 00 01 00 000 -351.00  -479.00
2003 10 30 00 02 00 000 -355.00  -525.00
2003 10 30 00 03 00 000 -355.00  -497.00
2003 10 30 00 04 00 000 -351.00  -539.00
2003 10 30 00 05 00 000 -349.00  -644.00
2003 10 30 00 06 00 000 -351.00  -676.00
2003 10 30 00 07 00 000 -352.00  -667.00
2003 10 30 00 08 00 000 -353.00  -680.00
2003 10 30 00 09 00 000 -353.00  -729.00
2003 10 30 00 10 00 000 -353.00  -795.00
2003 10 30 00 11 00 000 -353.00  -830.00
2003 10 30 00 12 00 000 -356.00  -880.00
2003 10 30 00 13 00 000 -361.00  -868.00
2003 10 30 00 14 00 000 -364.00  -823.00
2003 10 30 00 15 00 000 -369.00  -772.00
2003 10 30 00 16 00 000 -368.00  -701.00
2003 10 30 00 17 00 000 -367.00  -658.00
2003 10 30 00 18 00 000 -369.00  -650.00
2003 10 30 00 19 00 000 -372.00  -617.00
2003 10 30 00 20 00 000 -373.00  -570.00
2003 10 30 00 21 00 000 -376.00  -506.00
2003 10 30 00 22 00 000 -376.00  -445.00
2003 10 30 00 23 00 000 -376.00  -412.00
2003 10 30 00 24 00 000 -377.00  -371.00
2003 10 30 00 25 00 000 -377.00  -355.00
2003 10 30 00 26 00 000 -375.00  -342.00
2003 10 30 00 27 00 000 -377.00  -366.00
2003 10 30 00 28 00 000 -376.00  -369.00
2003 10 30 00 29 00 000 -375.00  -394.00
2003 10 30 00 30 00 000 -377.00  -414.00
2003 10 30 00 31 00 000 -377.00  -444.00
2003 10 30 00 32 00 000 -378.00  -424.00
2003 10 30 00 33 00 000 -380.00  -360.00
2003 10 30 00 34 00 000 -378.00  -392.00
2003 10 30 00 35 00 000 -375.00  -440.00
2003 10 30 00 36 00 000 -377.00  -465.00
2003 10 30 00 37 00 000 -374.00  -464.00
2003 10 30 00 38 00 000 -369.00  -473.00
2003 10 30 00 39 00 000 -364.00  -414.00
2003 10 30 00 40 00 000 -359.00  -378.00
2003 10 30 00 41 00 000 -358.00  -377.00
2003 10 30 00 42 00 000 -355.00  -348.00
2003 10 30 00 43 00 000 -352.00  -333.00
2003 10 30 00 44 00 000 -351.00  -368.00
2003 10 30 00 45 00 000 -357.00  -384.00
2003 10 30 00 46 00 000 -358.00  -409.00
2003 10 30 00 47 00 000 -360.00  -435.00
2003 10 30 00 48 00 000 -360.00  -440.00
2003 10 30 00 49 00 000 -358.00  -490.00
2003 10 30 00 50 00 000 -355.00  -507.00
2003 10 30 00 51 00 000 -347.00  -493.00
2003 10 30 00 52 00 000 -348.00  -468.00
2003 10 30 00 53 00 000 -354.00  -566.00
2003 10 30 00 54 00 000 -353.00  -476.00
2003 10 30 00 55 00 000 -355.00  -462.00
2003 10 30 00 56 00 000 -350.00  -445.00
2003 10 30 00 57 00 000 -352.00  -412.00
2003 10 30 00 58 00 000 -343.00  -392.00
2003 10 30 00 59 00 000 -333.00  -387.00
2003 10 30 01 00 00 000 -318.00  -378.00
2003 10 30 01 01 00 000 -305.00  -348.00
2003 10 30 01 02 00 000 -306.00  -383.00
2003 10 30 01 03 00 000 -314.00  -391.00
2003 10 30 01 04 00 000 -313.00  -409.00
2003 10 30 01 05 00 000 -333.00  -314.00
2003 10 30 01 06 00 000 -340.00  -310.00
2003 10 30 01 07 00 000 -344.00  -335.00
2003 10 30 01 08 00 000 -347.00  -336.00
2003 10 30 01 09 00 000 -341.00  -339.00
2003 10 30 01 10 00 000 -341.00  -377.00
2003 10 30 01 11 00 000 -338.00  -401.00
2003 10 30 01 12 00 000 -335.00  -429.00
2003 10 30 01 13 00 000 -355.00  -330.00
2003 10 30 01 14 00 000 -347.00  -280.00
2003 10 30 01 15 00 000 -350.00  -351.00
2003 10 30 01 16 00 000 -346.00  -416.00
2003 10 30 01 17 00 000 -345.00  -346.00
2003 10 30 01 18 00 000 -346.00  -318.00
2003 10 30 01 19 00 000 -344.00  -344.00
2003 10 30 01 20 00 000 -346.00  -410.00
2003 10 30 01 21 00 000 -351.00  -398.00
2003 10 30 01 22 00 000 -354.00  -387.00
2003 10 30 01 23 00 000 -353.00  -387.00
2003 10 30 01 24 00 000 -352.00  -390.00
2003 10 30 01 25 00 000 -353.00  -412.00
2003 10 30 01 26 00 000 -352.00  -433.00
2003 10 30 01 27 00 000 -354.00  -740.00
2003 10 30 01 28 00 000 -355.00 -1197.00
2003 10 30 01 29 00 000 -353.00 -1188.00
2003 10 30 01 30 00 000 -349.00 -1145.00
2003 10 30 01 31 00 000 -356.00 -1110.00
2003 10 30 01 32 00 000 -356.00 -1093.00
2003 10 30 01 33 00 000 -353.00  -979.00
2003 10 30 01 34 00 000 -350.00 -1056.00
2003 10 30 01 35 00 000 -351.00 -1181.00
2003 10 30 01 36 00 000 -351.00 -1382.00
2003 10 30 01 37 00 000 -353.00 -1661.00
2003 10 30 01 38 00 000 -353.00 -1627.00
2003 10 30 01 39 00 000 -352.00 -1513.00
2003 10 30 01 40 00 000 -357.00 -1514.00
2003 10 30 01 41 00 000 -357.00 -1650.00
2003 10 30 01 42 00 000 -364.00 -1711.00
2003 10 30 01 43 00 000 -365.00 -1562.00
2003 10 30 01 44 00 000 -379.00 -1659.00
2003 10 30 01 45 00 000 -385.00 -1675.00
2003 10 30 01 46 00 000 -388.00 -1768.00
2003 10 30 01 47 00 000 -389.00 -1973.00
2003 10 30 01 48 00 000 -391.00 -2071.00
2003 10 30 01 49 00 000 -389.00 -1983.00
2003 10 30 01 50 00 000 -385.00 -2123.00
2003 10 30 01 51 00 000 -384.00 -2021.00
2003 10 30 01 52 00 000 -382.00 -2028.00
2003 10 30 01 53 00 000 -389.00 -1791.00
2003 10 30 01 54 00 000 -390.00 -1455.00
2003 10 30 01 55 00 000 -385.00 -1370.00
2003 10 30 01 56 00 000 -384.00 -1470.00
2003 10 30 01 57 00 000 -382.00 -1522.00
2003 10 30 01 58 00 000 -378.00 -1607.00
2003 10 30 01 59 00 000 -375.00 -1611.00
2003 10 30 02 00 00 000 -376.00 -1662.00
2003 10 30 02 01 00 000 -376.00 -1914.00
2003 10 30 02 02 00 000 -380.00 -2165.00
2003 10 30 02 03 00 000 -382.00 -2184.00
2003 10 30 02 04 00 000 -379.00 -1750.00
2003 10 30 02 05 00 000 -377.00 -1310.00
2003 10 30 02 06 00 000 -377.00 -1074.00
2003 10 30 02 07 00 000 -375.00 -1014.00
2003 10 30 02 08 00 000 -374.00 -1006.00
2003 10 30 02 09 00 000 -373.00 -1076.00
2003 10 30 02 10 00 000 -373.00  -888.00
2003 10 30 02 11 00 000 -373.00  -912.00
2003 10 30 02 12 00 000 -373.00 -1274.00
2003 10 30 02 13 00 000 -373.00 -1418.00
2003 10 30 02 14 00 000 -371.00 -1390.00
2003 10 30 02 15 00 000 -369.00 -1264.00
2003 10 30 02 16 00 000 -368.00 -1273.00
2003 10 30 02 17 00 000 -368.00 -1363.00
2003 10 30 02 18 00 000 -367.00 -1414.00
2003 10 30 02 19 00 000 -365.00 -1472.00
2003 10 30 02 20 00 000 -364.00 -1449.00
2003 10 30 02 21 00 000 -364.00 -1425.00
2003 10 30 02 22 00 000 -367.00 -1410.00
2003 10 30 02 23 00 000 -366.00 -1411.00
2003 10 30 02 24 00 000 -368.00 -1396.00
2003 10 30 02 25 00 000 -371.00 -1334.00
2003 10 30 02 26 00 000 -369.00 -1131.00
2003 10 30 02 27 00 000 -367.00  -839.00
2003 10 30 02 28 00 000 -363.00  -782.00
2003 10 30 02 29 00 000 -363.00  -910.00
2003 10 30 02 30 00 000 -362.00 -1171.00
2003 10 30 02 31 00 000 -364.00 -1242.00
2003 10 30 02 32 00 000 -363.00 -1049.00
2003 10 30 02 33 00 000 -362.00  -838.00
2003 10 30 02 34 00 000 -358.00  -780.00
2003 10 30 02 35 00 000 -354.00  -807.00
2003 10 30 02 36 00 000 -349.00  -833.00
2003 10 30 02 37 00 000 -340.00  -843.00
2003 10 30 02 38 00 000 -337.00  -885.00
2003 10 30 02 39 00 000 -338.00  -990.00
2003 10 30 02 40 00 000 -340.00  -931.00
2003 10 30 02 41 00 000 -344.00  -868.00
2003 10 30 02 42 00 000 -347.00  -878.00
2003 10 30 02 43 00 000 -350.00  -952.00
2003 10 30 02 44 00 000 -352.00  -985.00
2003 10 30 02 45 00 000 -353.00  -936.00
2003 10 30 02 46 00 000 -354.00  -905.00
2003 10 30 02 47 00 000 -352.00  -958.00
2003 10 30 02 48 00 000 -346.00 -1017.00
2003 10 30 02 49 00 000 -343.00 -1046.00
2003 10 30 02 50 00 000 -346.00  -982.00
2003 10 30 02 51 00 000 -350.00  -844.00
2003 10 30 02 52 00 000 -347.00  -887.00
2003 10 30 02 53 00 000 -334.00 -1038.00
2003 10 30 02 54 00 000 -334.00 -1060.00
2003 10 30 02 55 00 000 -338.00 -1122.00
2003 10 30 02 56 00 000 -343.00 -1304.00
2003 10 30 02 57 00 000 -345.00 -1439.00
2003 10 30 02 58 00 000 -344.00 -1519.00
2003 10 30 02 59 00 000 -338.00 -1506.00
2003 10 30 03 00 00 000 -325.00 -1265.00
2003 10 30 03 01 00 000 -324.00 -1118.00
2003 10 30 03 02 00 000 -329.00 -1107.00
2003 10 30 03 03 00 000 -326.00 -1219.00
2003 10 30 03 04 00 000 -326.00 -1162.00
2003 10 30 03 05 00 000 -338.00 -1278.00
2003 10 30 03 06 00 000 -345.00 -1189.00
2003 10 30 03 07 00 000 -356.00 -1112.00
2003 10 30 03 08 00 000 -343.00 -1152.00
2003 10 30 03 09 00 000 -338.00 -1068.00
2003 10 30 03 10 00 000 -338.00 -1167.00
2003 10 30 03 11 00 000 -340.00 -1062.00
2003 10 30 03 12 00 000 -341.00  -999.00
2003 10 30 03 13 00 000 -338.00  -890.00
2003 10 30 03 14 00 000 -333.00  -722.00
2003 10 30 03 15 00 000 -331.00  -543.00
2003 10 30 03 16 00 000 -331.00  -521.00
2003 10 30 03 17 00 000 -331.00  -560.00
2003 10 30 03 18 00 000 -326.00  -556.00
2003 10 30 03 19 00 000 -319.00  -481.00
2003 10 30 03 20 00 000 -316.00  -379.00
2003 10 30 03 21 00 000 -313.00  -395.00
2003 10 30 03 22 00 000 -312.00  -334.00
2003 10 30 03 23 00 000 -307.00  -331.00
2003 10 30 03 24 00 000 -305.00  -394.00
2003 10 30 03 25 00 000 -307.00  -480.00
2003 10 30 03 26 00 000 -305.00  -432.00
2003 10 30 03 27 00 000 -306.00  -415.00
2003 10 30 03 28 00 000 -309.00  -392.00
2003 10 30 03 29 00 000 -307.00  -380.00
2003 10 30 03 30 00 000 -304.00  -380.00
2003 10 30 03 31 00 000 -302.00  -407.00
2003 10 30 03 32 00 000 -301.00  -424.00
2003 10 30 03 33 00 000 -301.00  -409.00
2003 10 30 03 34 00 000 -301.00  -463.00
2003 10 30 03 35 00 000 -301.00  -509.00
2003 10 30 03 36 00 000 -300.00  -504.00
2003 10 30 03 37 00 000 -300.00  -485.00
2003 10 30 03 38 00 000 -298.00  -442.00
2003 10 30 03 39 00 000 -296.00  -451.00
