Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 03 39 00 000  -31.00  -234.00
2003 10 29 03 40 00 000  -32.00  -200.00
2003 10 29 03 41 00 000  -32.00  -180.00
2003 10 29 03 42 00 000  -32.00  -173.00
2003 10 29 03 43 00 000  -33.00  -181.00
2003 10 29 03 44 00 000  -32.00  -186.00
2003 10 29 03 45 00 000  -33.00  -169.00
2003 10 29 03 46 00 000  -34.00  -165.00
2003 10 29 03 47 00 000  -34.00  -147.00
2003 10 29 03 48 00 000  -35.00  -135.00
2003 10 29 03 49 00 000  -36.00  -139.00
2003 10 29 03 50 00 000  -35.00  -135.00
2003 10 29 03 51 00 000  -34.00  -148.00
2003 10 29 03 52 00 000  -33.00  -155.00
2003 10 29 03 53 00 000  -35.00  -149.00
2003 10 29 03 54 00 000  -36.00  -146.00
2003 10 29 03 55 00 000  -37.00  -132.00
2003 10 29 03 56 00 000  -37.00  -136.00
2003 10 29 03 57 00 000  -37.00  -126.00
2003 10 29 03 58 00 000  -37.00  -110.00
2003 10 29 03 59 00 000  -37.00  -111.00
2003 10 29 04 00 00 000  -37.00  -117.00
2003 10 29 04 01 00 000  -37.00  -117.00
2003 10 29 04 02 00 000  -38.00  -122.00
2003 10 29 04 03 00 000  -39.00  -106.00
2003 10 29 04 04 00 000  -37.00   -89.00
2003 10 29 04 05 00 000  -36.00   -75.00
2003 10 29 04 06 00 000  -36.00   -63.00
2003 10 29 04 07 00 000  -36.00   -91.00
2003 10 29 04 08 00 000  -35.00   -98.00
2003 10 29 04 09 00 000  -36.00  -103.00
2003 10 29 04 10 00 000  -36.00   -93.00
2003 10 29 04 11 00 000  -36.00   -86.00
2003 10 29 04 12 00 000  -36.00   -76.00
2003 10 29 04 13 00 000  -35.00   -67.00
2003 10 29 04 14 00 000  -36.00   -67.00
2003 10 29 04 15 00 000  -37.00   -57.00
2003 10 29 04 16 00 000  -36.00   -43.00
2003 10 29 04 17 00 000  -35.00   -34.00
2003 10 29 04 18 00 000  -36.00   -50.00
2003 10 29 04 19 00 000  -35.00   -68.00
2003 10 29 04 20 00 000  -36.00   -65.00
2003 10 29 04 21 00 000  -36.00   -71.00
2003 10 29 04 22 00 000  -36.00   -78.00
2003 10 29 04 23 00 000  -36.00   -82.00
2003 10 29 04 24 00 000  -35.00   -78.00
2003 10 29 04 25 00 000  -34.00   -78.00
2003 10 29 04 26 00 000  -33.00   -82.00
2003 10 29 04 27 00 000  -33.00   -78.00
2003 10 29 04 28 00 000  -33.00   -96.00
2003 10 29 04 29 00 000  -32.00  -107.00
2003 10 29 04 30 00 000  -32.00  -104.00
2003 10 29 04 31 00 000  -33.00  -108.00
2003 10 29 04 32 00 000  -33.00   -96.00
2003 10 29 04 33 00 000  -33.00   -89.00
2003 10 29 04 34 00 000  -33.00   -79.00
2003 10 29 04 35 00 000  -34.00   -63.00
2003 10 29 04 36 00 000  -35.00   -48.00
2003 10 29 04 37 00 000  -36.00   -45.00
2003 10 29 04 38 00 000  -37.00   -47.00
2003 10 29 04 39 00 000  -37.00   -37.00
2003 10 29 04 40 00 000  -37.00   -36.00
2003 10 29 04 41 00 000  -37.00   -59.00
2003 10 29 04 42 00 000  -37.00   -75.00
2003 10 29 04 43 00 000  -37.00  -198.00
2003 10 29 04 44 00 000  -38.00  -197.00
2003 10 29 04 45 00 000  -37.00  -195.00
2003 10 29 04 46 00 000  -38.00  -154.00
2003 10 29 04 47 00 000  -37.00  -174.00
2003 10 29 04 48 00 000  -37.00  -210.00
2003 10 29 04 49 00 000  -36.00  -187.00
2003 10 29 04 50 00 000  -36.00  -201.00
2003 10 29 04 51 00 000  -36.00  -199.00
2003 10 29 04 52 00 000  -37.00  -192.00
2003 10 29 04 53 00 000  -37.00  -200.00
2003 10 29 04 54 00 000  -37.00  -211.00
2003 10 29 04 55 00 000  -37.00  -249.00
2003 10 29 04 56 00 000  -37.00  -231.00
2003 10 29 04 57 00 000  -38.00  -220.00
2003 10 29 04 58 00 000  -38.00  -253.00
2003 10 29 04 59 00 000  -39.00  -267.00
2003 10 29 05 00 00 000  -40.00  -240.00
2003 10 29 05 01 00 000  -38.00  -220.00
2003 10 29 05 02 00 000  -36.00  -257.00
2003 10 29 05 03 00 000  -37.00  -281.00
2003 10 29 05 04 00 000  -38.00  -262.00
2003 10 29 05 05 00 000  -39.00  -234.00
2003 10 29 05 06 00 000  -40.00  -195.00
2003 10 29 05 07 00 000  -40.00  -181.00
2003 10 29 05 08 00 000  -40.00  -168.00
2003 10 29 05 09 00 000  -40.00  -158.00
2003 10 29 05 10 00 000  -40.00  -156.00
2003 10 29 05 11 00 000  -39.00  -141.00
2003 10 29 05 12 00 000  -39.00  -138.00
2003 10 29 05 13 00 000  -39.00  -159.00
2003 10 29 05 14 00 000  -40.00  -188.00
2003 10 29 05 15 00 000  -41.00  -168.00
2003 10 29 05 16 00 000  -41.00  -142.00
2003 10 29 05 17 00 000  -42.00  -134.00
2003 10 29 05 18 00 000  -41.00  -145.00
2003 10 29 05 19 00 000  -42.00  -169.00
2003 10 29 05 20 00 000  -43.00  -177.00
2003 10 29 05 21 00 000  -43.00  -157.00
2003 10 29 05 22 00 000  -43.00  -130.00
2003 10 29 05 23 00 000  -42.00  -117.00
2003 10 29 05 24 00 000  -42.00  -119.00
2003 10 29 05 25 00 000  -42.00  -117.00
2003 10 29 05 26 00 000  -41.00  -132.00
2003 10 29 05 27 00 000  -41.00  -148.00
2003 10 29 05 28 00 000  -41.00  -156.00
2003 10 29 05 29 00 000  -41.00  -158.00
2003 10 29 05 30 00 000  -41.00  -158.00
2003 10 29 05 31 00 000  -42.00  -155.00
2003 10 29 05 32 00 000  -42.00  -149.00
2003 10 29 05 33 00 000  -41.00  -142.00
2003 10 29 05 34 00 000  -41.00  -147.00
2003 10 29 05 35 00 000  -40.00  -138.00
2003 10 29 05 36 00 000  -40.00  -155.00
2003 10 29 05 37 00 000  -40.00  -179.00
2003 10 29 05 38 00 000  -40.00  -145.00
2003 10 29 05 39 00 000  -41.00  -137.00
2003 10 29 05 40 00 000  -41.00  -163.00
2003 10 29 05 41 00 000  -41.00  -180.00
2003 10 29 05 42 00 000  -41.00  -193.00
2003 10 29 05 43 00 000  -40.00  -205.00
2003 10 29 05 44 00 000  -39.00  -206.00
2003 10 29 05 45 00 000  -39.00  -213.00
2003 10 29 05 46 00 000  -38.00  -215.00
2003 10 29 05 47 00 000  -38.00  -209.00
2003 10 29 05 48 00 000  -37.00  -216.00
2003 10 29 05 49 00 000  -37.00  -225.00
2003 10 29 05 50 00 000  -38.00  -236.00
2003 10 29 05 51 00 000  -38.00  -257.00
2003 10 29 05 52 00 000  -36.00  -281.00
2003 10 29 05 53 00 000  -35.00  -278.00
2003 10 29 05 54 00 000  -36.00  -267.00
2003 10 29 05 55 00 000  -36.00  -268.00
2003 10 29 05 56 00 000  -37.00  -287.00
2003 10 29 05 57 00 000  -37.00  -285.00
2003 10 29 05 58 00 000  -37.00  -286.00
2003 10 29 05 59 00 000  -35.00  -296.00
2003 10 29 06 00 00 000  -34.00  -336.00
2003 10 29 06 01 00 000  -34.00  -352.00
2003 10 29 06 02 00 000  -35.00  -355.00
2003 10 29 06 03 00 000  -34.00  -349.00
